Designator,Package,Quantity,Part,Digi-Key Part
"C1,C2,C4",C2,3,1uF,445-2858-ND
C3,C2,1,8.2pF,490-3764-ND
C5,C2V8,1,100uF,P13459-ND
"D1,D2,D3,D4",LED-3MM,1,3mm LED (red),754-1606-ND
"D5,D6,D7",D3,3,1N4004,641-1311-1-ND
"D8,D9",LED-3MM,1,3mm LED (blue),754-1596-ND
M1,XBEE,1,XBee Series 1,XB24-AWI-001-ND
"P1,P2,P3,P4",5MMSCREWTERM,1,5mm screw terminal,ED2600-ND
P7,JST2,1,JST2 power header,455-2257-ND
"Q1,Q2,Q3",TO220GDS_VERT,3,IRF510,IRF510PBF-ND
"R1,R2,R3",R3,3,390,390QBK-ND
"R4,R8,R9,R10,R11,R12",R3,6,1k,1.0KQBK-ND
"R5,R6,R7",R3,3,10k,10KQBK-ND
"U1,U2,U3",DIP-6__300,3,4N35,516-1557-5-ND
U4,SIL-3,1,MCP1700,MCP1700-3302E/TO-ND
XM1,,2,2mm 10 pin header,S5751-10-ND
"XU1,XU2,XU3",,3,6DIP socket,A100203-ND